Region,Winter,Spring,Summer,Autumn
Rainfall_Simignano,"[2.713, 4.317]","[0.678, 1.079]","[1.357, 2.159]","[2.035, 3.238]"
Rainfall_Siena_Poggio_al_Vento,"[1.167, 3.213]","[0.292, 0.803]","[0.583, 1.607]","[0.875, 2.41]"
Rainfall_Mensano,"[1.653, 4.654]","[0.413, 1.164]","[0.826, 2.327]","[1.24, 3.491]"
Rainfall_Montalcinello,"[2.742, 4.308]","[0.685, 1.077]","[1.371, 2.154]","[2.056, 3.231]"
Rainfall_Monticiano_la_Pineta,"[2.634, 5.231]","[0.658, 1.308]","[1.317, 2.616]","[1.975, 3.923]"
Rainfall_Sovicille,"[2.532, 4.146]","[0.633, 1.037]","[1.266, 2.073]","[1.899, 3.11]"
Rainfall_Ponte_Orgia,"[2.139, 4.666]","[0.535, 1.167]","[1.07, 2.333]","[1.604, 3.5]"
Rainfall_Scorgiano,"[3.055, 6.115]","[0.764, 1.529]","[1.528, 3.057]","[2.292, 4.586]"
Rainfall_Pentolina,"[3.743, 20.617]","[0.936, 5.154]","[1.872, 10.309]","[2.807, 15.463]"
Rainfall_Monteroni_Arbia_Biena,"[2.179, 3.839]","[0.545, 0.96]","[1.089, 1.92]","[1.634, 2.88]"
Temperature_Siena_Poggio_al_Vento,"[2.018, 7.508]","[0.504, 1.877]","[1.009, 3.754]","[1.513, 5.631]"
Temperature_Mensano,"[4.259, 10.596]","[1.065, 2.649]","[2.13, 5.298]","[3.195, 7.947]"
Temperature_Pentolina,"[13.544, 20.069]","[3.386, 5.017]","[6.772, 10.035]","[10.158, 15.052]"
Temperature_Monteroni_Arbia_Biena,"[13.995, 20.288]","[3.499, 5.072]","[6.997, 10.144]","[10.496, 15.216]"
Volume_Pozzo_1,"[-250.543, -155.802]","[-62.636, -38.95]","[-125.271, -77.901]","[-187.907, -116.851]"
Volume_Pozzo_3,"[-234.631, -143.639]","[-58.658, -35.91]","[-117.315, -71.82]","[-175.973, -107.73]"
Volume_Pozzo_4,"[-214.29, -128.153]","[-53.572, -32.038]","[-107.145, -64.077]","[-160.717, -96.115]"
