Region,Winter,Spring,Summer,Autumn
Rainfall_Gallicano,"[6.003, 7.76]","[1.501, 1.94]","[3.002, 3.88]","[4.502, 5.82]"
Rainfall_Pontetetto,"[4.248, 5.505]","[1.062, 1.376]","[2.124, 2.753]","[3.186, 4.129]"
Rainfall_Monte_Serra,"[4.797, 6.269]","[1.199, 1.567]","[2.399, 3.134]","[3.598, 4.702]"
Rainfall_Orentano,"[3.767, 4.943]","[0.942, 1.236]","[1.884, 2.472]","[2.826, 3.707]"
Rainfall_Borgo_a_Mozzano,"[5.689, 7.314]","[1.422, 1.828]","[2.845, 3.657]","[4.267, 5.485]"
Rainfall_Piaggione,"[4.835, 6.243]","[1.209, 1.561]","[2.418, 3.121]","[3.626, 4.682]"
Rainfall_Calavorno,"[5.539, 7.169]","[1.385, 1.792]","[2.769, 3.585]","[4.154, 5.377]"
Rainfall_Croce_Arcana,"[2.918, 4.192]","[0.729, 1.048]","[1.459, 2.096]","[2.188, 3.144]"
Rainfall_Tereglio_Coreglia_Antelminelli,"[4.983, 6.517]","[1.246, 1.629]","[2.491, 3.258]","[3.737, 4.888]"
Rainfall_Fabbriche_di_Vallico,"[7.273, 9.359]","[1.818, 2.34]","[3.636, 4.68]","[5.455, 7.02]"
Temperature_Orentano,"[13.311, 18.83]","[3.328, 4.708]","[6.655, 9.415]","[9.983, 14.123]"
Temperature_Monte_Serra,"[11.707, 15.876]","[2.927, 3.969]","[5.853, 7.938]","[8.78, 11.907]"
Temperature_Ponte_a_Moriano,"[10.191, 15.515]","[2.548, 3.879]","[5.096, 7.757]","[7.643, 11.636]"
Temperature_Lucca_Orto_Botanico,"[16.481, 21.822]","[4.12, 5.455]","[8.24, 10.911]","[12.361, 16.366]"
Volume_POL,"[-13712.149, -10578.761]","[-3428.037, -2644.69]","[-6856.074, -5289.38]","[-10284.112, -7934.071]"
Volume_CC1,"[-23675.845, -18787.258]","[-5918.961, -4696.814]","[-11837.923, -9393.629]","[-17756.884, -14090.443]"
Volume_CC2,"[-17184.123, -13582.672]","[-4296.031, -3395.668]","[-8592.062, -6791.336]","[-12888.093, -10187.004]"
Volume_CSA,"[-4384.341, -2222.9]","[-1096.085, -555.725]","[-2192.17, -1111.45]","[-3288.256, -1667.175]"
Volume_CSAL,"[-3558.796, -1701.984]","[-889.699, -425.496]","[-1779.398, -850.992]","[-2669.097, -1276.488]"
Hydrometry_Monte_S_Quirico,"[0.382, 0.476]","[0.096, 0.119]","[0.191, 0.238]","[0.287, 0.357]"
Hydrometry_Piaggione,"[-0.436, 0.034]","[-0.109, 0.009]","[-0.218, 0.017]","[-0.327, 0.026]"
